Plant_Code,Latitude,Longitude,Energy_Source_1
67419,38.169473,-104.618971,SUN
67441,39.72736,-104.76954,SUN
67446,39.72883,-104.77063,SUN
67465,40.665825,-103.203525,SUN
67466,40.319191,-104.836243,SUN
67467,40.340485,-104.881674,SUN
67952,37.124087,-107.860243,SUN
68041,40.135008,-104.645395,SUN
68639,40.34036,-104.87889,SUN
68640,40.481029,-104.715909,SUN
68941,37.983521,-103.57624,SUN
68943,40.31766,-104.930923,SUN
68944,39.728452,-104.769,SUN
68945,40.620759,-103.234372,SUN
68964,40.32734,-104.751821,SUN
